date,gross_return,transaction_cost,net_return,turnover,long_contribution,short_contribution,long_exposure,short_exposure,gross_exposure,cumulative_gross,cumulative_net,drawdown
2023-01-10,-0.0008428047141883972,0.0,-0.0008428047141883972,0.0,0.007278318894547302,-0.0081211236087357,0.49999999999999994,-0.5,0.9999999999999999,-0.19709189040923047,-0.21885746186442923,-0.22977501613023266
2023-01-11,-0.0036825850842246714,0.0,-0.0036825850842246714,0.0,0.005352302383341342,-0.009034887467566014,0.49999999999999994,-0.5,0.9999999999999999,-0.20004866783761244,-0.22173408572402065,-0.23261143516732863
2023-01-12,-0.0021083177501141376,0.0,-0.0021083177501141376,0.0,0.004543746538919627,-0.006652064289033765,0.49999999999999994,-0.5,0.9999999999999999,-0.20173521943043782,-0.2233749175653975,-0.23422933409979996
2023-01-13,-0.0007316040696152331,0.0,-0.0007316040696152331,0.0,0.009953243097722787,-0.010684847167338021,0.49999999999999994,-0.5,0.9999999999999999,-0.2023192331925331,-0.2239430996362719,-0.23478957503536446
2023-01-17,-0.004086850348845653,0.0,-0.004086850348845653,0.0,0.0003654217938381784,-0.004452272142683832,0.49999999999999994,-0.5,0.9999999999999999,-0.20557923511262766,-0.22711472805024757,-0.23791687552757168
2023-01-18,0.006264364256525663,0.0,0.006264364256525663,0.0,-0.004759419549010787,0.011023783805536452,0.49999999999999994,-0.5,0.9999999999999999,-0.20060269406842546,-0.2222730931782504,-0.2331429092421251
2023-01-19,-0.0033200700867922193,0.0,-0.0033200700867922193,0.0,-0.0016723914902415306,-0.0016476785965506883,0.49999999999999994,-0.5,0.9999999999999999,-0.2032567491513112,-0.22485520101728274,-0.2356889285299949
2023-01-20,-0.0038593156798507776,0.0,-0.0038593156798507776,0.0,0.004914787816788202,-0.008774103496638978,0.49999999999999994,-0.5,0.9999999999999999,-0.20633163287212686,-0.22784672949415152,-0.2386386462324026
2023-01-23,-0.010809833070252566,0.0,-0.010809833070252566,0.0,0.005582628178020004,-0.01639246124827257,0.49999999999999994,-0.5,0.9999999999999999,-0.21491105543391908,-0.23619357745296932,-0.24686883537277182
2023-01-24,0.0037442845908959997,0.0,0.0037442845908959997,0.0,0.001332550678025371,0.0024117339128706286,0.49999999999999994,-0.5,0.9999999999999999,-0.21197145899629755,-0.23333366883459916,-0.24404889795813467
2023-01-25,-0.0007879058470387512,0.0,-0.0007879058470387512,0.0,0.005358501474294115,-0.006146407321332866,0.49999999999999994,-0.5,0.9999999999999999,-0.21259235129138787,-0.2339377297196522,-0.24464451625150896
2023-01-26,7.437952838552746e-06,0.0,7.437952838552746e-06,0.0,-0.00116965780452831,0.0011770957573668623,0.49999999999999994,-0.5,0.9999999999999999,-0.2125864945904321,-0.23393203178461452,-0.2446388979530445
2023-01-27,-0.010803561526593971,0.0,-0.010803561526593971,0.0,0.0027806129029377797,-0.013584174429531751,0.49999999999999994,-0.5,0.9999999999999999,-0.22109336484299547,-0.24220829421278234,-0.2527994880938047
2023-01-30,0.007838163849493983,0.0,0.007838163849493983,0.0,0.0007988337797948477,0.007039330069699135,0.49999999999999994,-0.5,0.9999999999999999,-0.2149881670131768,-0.2362685986590346,-0.24694280805305813
2023-01-31,-0.0031106843279528687,0.0,-0.0031106843279528687,0.0,0.009296161330371765,-0.012406845658324634,0.49999999999999994,-0.5,0.9999999999999999,-0.21743009101930655,-0.23864432595995144,-0.2492853312580997
2023-02-01,-0.008889428308382198,0.0,-0.008889428308382198,0.0,0.006005644734505913,-0.01489507304288811,0.49999999999999994,-0.5,0.9999999999999999,-0.2243866901214876,-0.24541234264151046,-0.2559587554859317
