ticker,provider_symbol,normalization_status,renamed_symbol,entry_eligible,operational_pricing_required,pricing_status,security_status,latest_price_date,exclusion_reason,affects
DRI,DRI,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
DV,DV,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
DXPE,DXPE,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
ECVT,ECVT,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
EFOR,EFOR,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
ENS,ENS,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
EOSE,EOSE,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
EPD,EPD,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
EQH,EQH,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
ERNA,ERNA,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
ESAB,ESAB,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
EVLV,EVLV,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
EXP,EXP,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
EXPD,EXPD,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
EXPO,EXPO,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
F,F,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
FABC,FABC,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
FCEL,FCEL,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
FIG,FIG,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
FIVN,FIVN,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
FLEX,FLEX,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
FLOC,FLOC,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
FMC,FMC,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
FSV,FSV,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
FTRE,FTRE,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
FTV,FTV,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
FUL,FUL,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
GAB,GAB,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
GDOT,GDOT,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
GE,GE,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
GEN,GEN,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
GFS,GFS,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
GILD,GILD,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
GLBE,GLBE,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
GM,GM,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
GNW,GNW,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
GOOGL,GOOGL,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
GS,GS,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
GSBC,GSBC,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
HALO,HALO,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
HAS,HAS,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
HAYW,HAYW,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
HD,HD,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
HEI.A,HEI-A,dot_to_dash,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
HL,HL,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
HLF,HLF,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
HLI,HLI,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
HLIO,HLIO,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
HMN,HMN,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
HON,HON,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
HRB,HRB,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
HTZ,HTZ,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
HYT,HYT,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
IBM,IBM,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
IMSR,IMSR,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
INTC,INTC,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
IRT,IRT,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
ISRG,ISRG,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
ITGR,ITGR,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
ITRI,ITRI,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
JBIO,JBIO,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
JNJ,JNJ,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
JPM,JPM,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
KALV,KALV,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
KKR,KKR,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
KO,KO,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
KREF,KREF,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
LC,LC,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
LEG,LEG,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
LFVN,LFVN,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
LGN,LGN,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
LIFE,LIFE,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
LIN,LIN,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
LLY,LLY,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
LLYVK,LLYVK,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
LMT,LMT,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
